,year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
0,2015,450000100063,00063,Lee High,4500001,Dept Of Correction N04,5209,021,990 Wisacki Highway,Bishopville,SC,29010,990 Wisacki Highway,-1,-1,-1,8038962532,45,34.197587,-80.226312,-2,-2,41.0,45061,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,4.0,52.0,0.0,52.0,0,1,0,0,55.0,,,450000100063,,,
1,2015,450000100148,00148,Trenton High,4500001,Dept Of Correction N04,5209,022,84 Greenhouse Road,Trenton,SC,29847,84 Greenhouse Road,-1,-1,-1,8038963045,45,33.714142,-81.841542,-2,12260,42.0,45037,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,5.0,71.0,0.0,71.0,0,1,0,0,74.0,,,450000100148,,,
2,2015,450000100238,00238,Turbeville High,4500001,Dept Of Correction N04,5209,024,1578 Clarence Coker Highway,Turbeville,SC,29162,1578 Clarence Coker Highway,-1,-1,-1,8038963178,45,33.886351,-80.079983,-2,-2,42.0,45027,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,5.0,180.0,0.0,180.0,0,1,0,0,183.0,,,450000100238,,,
3,2015,450000100255,00255,Tyger River High,4500001,Dept Of Correction N04,5209,003,200 Prison Road,Enoree,SC,29355,200 Prison Road,-1,-1,-1,8038963527,45,34.712488,-81.827048,273,43900,42.0,45083,3,4,1,9,12,0,5.0,1.0,1.0,0,0.0,0.0,0,4.0,55.0,0.0,55.0,0,1,0,0,58.0,,,450000100255,,,
4,2015,450000100266,00266,Ridgeland High,4500001,Dept Of Correction N04,5209,023,P.O. Box 2039,Ridgeland,SC,29936,5 Correctional Road,Ridgeland,SC,29936,8038963252,45,32.4962,-80.967671,-2,25940,32.0,45053,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,3.0,12.0,0.0,12.0,0,1,0,0,15.0,,,450000100266,,,
5,2015,450000100939,00939,Manning High,4500001,Dept Of Correction N04,5209,007,502 Beckman Road,Columbia,SC,29203,502 Beckman Road,-1,-1,-1,8039357203,45,34.083279,-80.988752,192,17900,12.0,45079,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,5.0,47.0,0.0,47.0,0,1,0,0,50.0,,,450000100939,,,
6,2015,450000101376,01376,MacDougall High,4500001,Dept Of Correction N04,5209,006,1516 Old Gilliard Road,Ridgeville,SC,29472,1516 Old Gilliard Road,-1,-1,-1,8037373036,45,33.169902,-80.290996,-2,16700,42.0,45015,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,3.0,-1.0,-1.0,8.0,0,1,0,0,8.0,,,450000101376,,,
7,2015,450000101378,01378,Sara Babb High,4500001,Dept Of Correction N04,5209,011,4450 Broad River Road,Columbia,SC,29210,4450 Broad River Road,-1,-1,-1,8038962714,45,34.071935,-81.102995,192,17900,12.0,45079,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,1.0,12.0,0.0,12.0,0,1,0,0,15.0,,,450000101378,,,
8,2015,450000101423,01423,Wateree River High,4500001,Dept Of Correction N04,5209,009,P.O. Box 1089,Rembert,SC,29128,8200 State Farm Road,Rembert,SC,29128,8038963454,45,34.08237,-80.585541,-2,44940,42.0,45085,3,4,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,4.0,12.0,0.0,12.0,0,1,0,0,15.0,,,450000101423,,,
9,2015,450000200435,00435,Harleyville Elementary,4500002,Dorchester 04,1804,016,1650 East Main Street,Dorchester,SC,29437,1650 East Main Street,-1,-1,-1,8434627671,45,33.154522,-80.379542,-2,16700,42.0,45035,1,1,1,-1,5,0,5.0,1.0,1.0,0,0.0,0.0,0,21.0,209.0,3.0,212.0,1,0,0,0,251.0,,,450000200435,,,
10,2015,450000200439,00439,St. George Middle,4500002,Dorchester 04,1804,017,600 Minus Street,St. George,SC,29477,600 Minus Street,-1,-1,-1,8435633171,45,33.19486,-80.577543,-2,16700,42.0,45035,2,1,1,6,8,0,5.0,1.0,1.0,0,0.0,0.0,0,22.0,248.0,0.0,248.0,0,0,1,0,267.0,,,450000200439,,,
11,2015,450000200444,00444,William Memorial Elementary,4500002,Dorchester 04,1804,018,290 South Metts Street,St. George,SC,29477,290 South Metts Street,-1,-1,-1,8435633231,45,33.183155,-80.589468,-2,16700,42.0,45035,1,1,1,-1,5,0,5.0,1.0,1.0,0,0.0,0.0,0,49.0,605.0,0.0,605.0,1,0,0,0,754.0,,,450000200444,,,
12,2015,450000200445,00445,Woodland High,4500002,Dorchester 04,1804,019,4128 Highway 78,Dorchester,SC,29437,4128 Highway 78,-1,-1,-1,8435635956,45,33.167572,-80.492451,-2,16700,42.0,45035,3,1,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,44.0,617.0,0.0,617.0,0,1,0,0,620.0,,,450000200445,,,
13,2015,450000201597,01597,Harleyville-Ridgeville Middle,4500002,Dorchester 04,1804,022,1650 East Main Street,Dorchester,SC,29437,1650 East Main Street,-1,-1,-1,8434622470,45,33.1544,-80.378681,-2,16700,42.0,45035,2,1,1,6,8,0,5.0,1.0,1.0,0,0.0,0.0,0,21.0,168.0,0.0,168.0,0,0,1,0,185.0,,,450000201597,,,
14,2015,450000201600,01600,Clay Hill Elementary,4500002,Dorchester 04,1804,021,387 South Railroad Avenue,Ridgeville,SC,29472,387 South Railroad Avenue,-1,-1,-1,8438517386,45,33.09166,-80.312091,-2,16700,41.0,45035,1,1,1,-1,5,0,5.0,1.0,1.0,0,0.0,0.0,0,14.0,119.0,0.0,119.0,1,0,0,0,154.0,,,450000201600,,,
15,2015,450000301401,01401,Felton Laboratory Charter School,4500003,Felton Lab Sch SC H24,5204,601,P.O. Box 2349,Orangeburg,SC,29116,300 College Street SCSU,Orangeburg,SC,29117,8035367034,45,33.501861,-80.852586,192,36700,32.0,45075,1,1,1,0,8,0,6.0,0.0,-2.0,1,0.0,0.0,0,21.0,-1.0,-1.0,-1.0,1,0,1,0,-1.0,,,450000301401,,,
16,2015,450000401226,01226,SC School for the Blind High,4500004,Deaf & Blind School,5207,005,355 Cedar Springs Road,Spartanburg,SC,29302,355 Cedar Springs Road,-1,-1,-1,8645777600,45,34.911561,-81.882361,273,43900,22.0,45083,3,2,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,12.0,17.0,0.0,17.0,0,1,0,0,21.0,,,450000401226,,,
17,2015,450000401227,01227,SC School for the Deaf High,4500004,Deaf & Blind School,5207,007,355 Cedar Springs Road,Spartanburg,SC,29302,355 Cedar Springs Road,-1,-1,-1,8645777833,45,34.911561,-81.882361,273,43900,22.0,45083,3,2,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,16.0,33.0,3.0,36.0,0,1,0,0,38.0,,,450000401227,,,
18,2015,450000401228,01228,SC School for the Deaf Elementary/Middle,4500004,Deaf & Blind School,5207,009,355 Cedar Springs Road,Spartanburg,SC,29302,355 Cedar Springs Road,-1,-1,-1,8645777833,45,34.911561,-81.882361,273,43900,22.0,45083,1,2,1,-1,8,0,6.0,0.0,-2.0,0,0.0,0.0,0,22.0,36.0,3.0,39.0,1,0,1,0,46.0,,,450000401228,,,
19,2015,450000401246,01246,SC School for the Blind Elementary/Middle,4500004,Deaf & Blind School,5207,010,355 Cedar Springs Road,Spartanburg,SC,29302,355 Cedar Springs Road,-1,-1,-1,8645777600,45,34.911561,-81.882361,273,43900,22.0,45083,1,2,1,-1,8,0,6.0,0.0,-2.0,0,0.0,0.0,0,22.0,23.0,5.0,28.0,1,0,1,0,31.0,,,450000401246,,,
20,2015,450000401402,01402,Cedar Springs Academy,4500004,Deaf & Blind School,5207,011,355 Cedar Springs Road,Spartanburg,SC,29302,355 Cedar Springs Road,-1,-1,-1,8645777771,45,34.911561,-81.882361,273,43900,22.0,45083,4,2,1,-1,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,18.0,66.0,7.0,73.0,1,1,1,0,88.0,,,450000401402,,,
21,2015,450000700597,00597,G. Frank Russell Technology Center,4500007,Greenwood 80,2480,995,601 East Northside Drive,Greenwood,SC,29649,601 East Northside Drive,-1,-1,-1,8649415750,45,34.234371,-82.165612,273,24940,32.0,45047,3,3,1,9,12,0,6.0,-2.0,-2.0,0,0.0,1.0,0,16.0,-2.0,-2.0,-2.0,0,1,0,0,0.0,,,450000700597,,,
22,2015,450000800863,00863,Cope Area Career Center,4500008,Orangeburg 80,3880,995,6052 Slab Landing Road,Cope,SC,29038,6052 Slab Landing Road,-1,-1,-1,8035347661,45,33.37413,-81.005831,192,36700,42.0,45075,3,3,1,9,12,0,6.0,-2.0,-2.0,0,0.0,1.0,0,9.0,-2.0,-2.0,-2.0,0,1,0,0,0.0,,,450000800863,,,
23,2015,450001001039,01039,R. D. Anderson Applied Technology Center,4500010,Spartanburg 81,4281,996,P.O. Box 248,Moore,SC,29369,1151 Center Point Drive,Moore,SC,29369,8645765020,45,34.83645,-81.998361,273,43900,41.0,45083,3,3,1,9,12,0,6.0,-2.0,-2.0,0,0.0,1.0,0,34.0,-2.0,-2.0,-2.0,0,1,0,0,0.0,,,450001001039,,,
24,2015,450001100991,00991,H. B. Swofford Career Center,4500011,Spartanburg 82,4282,997,5620 Highway 11,Inman,SC,29349,5620 Highway 11,-1,-1,-1,8645922790,45,35.123563,-82.022089,273,43900,41.0,45083,3,3,1,10,12,0,6.0,-2.0,-2.0,0,0.0,1.0,0,22.0,-2.0,-2.0,-2.0,0,1,0,0,0.0,,,450001100991,,,
25,2015,450069000002,00002,John C. Calhoun Elementary,4500690,Abbeville 60,0160,007,750 N. Calhoun Shores Parkway,Calhoun Falls,SC,29628,750 N. Calhoun Shores Parkway,-1,-1,-1,8644188016,45,34.103701,-82.597752,273,24940,42.0,45001,1,1,1,-1,5,0,5.0,1.0,1.0,0,0.0,0.0,0,15.0,162.0,11.0,173.0,1,0,0,0,195.0,,,450069000002,,,
26,2015,450069000010,00010,Wright Middle,4500690,Abbeville 60,0160,016,111 Highway 71,Abbeville,SC,29620,111 Highway 71,-1,-1,-1,8643665998,45,34.18653,-82.403351,273,24940,32.0,45001,2,1,1,6,8,0,5.0,1.0,1.0,0,0.0,0.0,0,32.0,232.0,31.0,263.0,0,0,1,0,384.0,,,450069000010,,,
27,2015,450069000011,00011,Abbeville High,4500690,Abbeville 60,0160,001,701 Washington Street,Abbeville,SC,29620,701 Washington Street,-1,-1,-1,8643665916,45,34.187265,-82.37472,273,24940,41.0,45001,3,1,1,9,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,33.0,267.0,44.0,311.0,0,1,0,0,508.0,,,450069000011,,,
28,2015,450069000012,00012,Dixie High,4500690,Abbeville 60,0160,003,P.O. Box 158,Due West,SC,29639,1 Haynes Street,Due West,SC,29639,8643792186,45,34.327491,-82.388343,273,24940,42.0,45001,3,1,1,8,12,0,6.0,0.0,-2.0,0,0.0,0.0,0,26.0,213.0,39.0,252.0,0,1,1,0,453.0,,,450069000012,,,
29,2015,450069000065,00065,Cherokee Trail Elementary,4500690,Abbeville 60,0160,018,6219 Highway 184 East,Donalds,SC,29638,6219 Highway 184 East,-1,-1,-1,8643798500,45,34.364107,-82.355559,273,24940,42.0,45001,1,1,1,-1,7,0,5.0,1.0,1.0,0,0.0,0.0,0,29.0,198.0,31.0,229.0,1,0,1,0,424.0,,,450069000065,,,
30,2015,450069000066,00066,Diamond Hill Elementary,4500690,Abbeville 60,0160,019,104 Lake Secession Road,Abbeville,SC,29620,104 Lake Secession Road,-1,-1,-1,8644462600,45,34.255882,-82.564823,273,24940,42.0,45001,1,1,1,-1,7,0,5.0,1.0,1.0,0,0.0,0.0,0,22.0,158.0,37.0,195.0,1,0,1,0,295.0,,,450069000066,,,
